Country,Country_name,Area
"103",Korea,Asia
"104",North_Korea,Asia
"105",China,Asia
"106",Taiwan,Asia
"107",Mongolia,Asia
"108",Hong_Kong,Asia
"110",Viet_Nam,Asia
"111",Thailand,Asia
"112",Singapore,Asia
"113",Malaysia,Asia
"116",Brunei,Asia
"117",Philippines,Asia
"118",Indonesia,Asia
"120",Cambodia,Asia
"121",Lao,Asia
"122",Myanmar,Asia
"123",India,Asia
"124",Pakistan,Asia
"125",Sri_Lanka,Asia
"126",Maldives,Asia
"127",Bangladesh,Asia
"128",Timor-Leste,Asia
"129",Macao,Asia
"130",Afghanistan,Asia
"131",Nepal,Asia
"132",Bhutan,Asia
"133",Iran,Middle_East
"134",Iraq,Middle_East
"135",Bahrain,Middle_East
"137",Saudi_Arabia,Middle_East
"138",Kuwait,Middle_East
"140",Qatar,Middle_East
"141",Oman,Middle_East
"143",Israel,Middle_East
"144",Jordan,Middle_East
"145",Syria,Middle_East
"146",Lebanon,Middle_East
"147",United_Arab_Emirates,Middle_East
"149",Yemen,Middle_East
"150",Azerbaijan,Central_and_East_Europe_Russia
"151",Armenia,Central_and_East_Europe_Russia
"152",Uzbekistan,Central_and_East_Europe_Russia
"153",Kazakhstan,Central_and_East_Europe_Russia
"154",Kyrgyz,Central_and_East_Europe_Russia
"155",Tajikistan,Central_and_East_Europe_Russia
"156",Turkmenistan,Central_and_East_Europe_Russia
"157",Georgia,Central_and_East_Europe_Russia
"158",West_Bank_and_Gaza_Strip,Middle_East
"201",Iceland,Western_Europe
"202",Norway,Western_Europe
"203",Sweden,Western_Europe
"204",Denmark,Western_Europe
"205",United_Kingdom,Western_Europe
"206",Ireland,Western_Europe
"207",Netherlands,Western_Europe
"208",Belgium,Western_Europe
"209",Luxembourg,Western_Europe
"210",France,Western_Europe
"211",Monaco,Western_Europe
"212",Andorra,Western_Europe
"213",Germany,Western_Europe
"215",Switzerland,Western_Europe
"216",Azores_(Portugal),Western_Europe
"217",Portugal,Western_Europe
"218",Spain,Western_Europe
"219",Gibraltar_(UK),Western_Europe
"220",Italy,Western_Europe
"221",Malta,Western_Europe
"222",Finland,Western_Europe
"223",Poland,Central_and_East_Europe_Russia
"224",Russia,Central_and_East_Europe_Russia
"225",Austria,Western_Europe
"227",Hungary,Central_and_East_Europe_Russia
"228",Serbia,Western_Europe
"229",Albania,Central_and_East_Europe_Russia
"230",Greece,Western_Europe
"231",Romania,Central_and_East_Europe_Russia
"232",Bulgaria,Central_and_East_Europe_Russia
"233",Cyprus,Western_Europe
"234",Turkey,Western_Europe
"235",Estonia,Central_and_East_Europe_Russia
"236",Latvia,Central_and_East_Europe_Russia
"237",Lithuania,Central_and_East_Europe_Russia
"238",Ukraine,Central_and_East_Europe_Russia
"239",Belarus,Central_and_East_Europe_Russia
"240",Moldova,Central_and_East_Europe_Russia
"241",Croatia,Western_Europe
"242",Slovenia,Western_Europe
"243",Bosnia_and_Herzegovina,Western_Europe
"244",Former_Yugoslav_Republic_of_Macedonia,Western_Europe
"245",Czech_Republic,Central_and_East_Europe_Russia
"246",Slovak,Central_and_East_Europe_Russia
"247",Montenegro,Western_Europe
"248",Kosovo,Western_Europe
"301",Greenland_(Denmark),North_America
"302",Canada,North_America
"303",St.Pierre_and_Miquelon_(France),North_America
"304",United_States_of_America,North_America
"305",Mexico,Middle_and_South_America
"306",Guatemala,Middle_and_South_America
"307",Honduras,Middle_and_South_America
"308",Belize,Middle_and_South_America
"309",El_Salvador,Middle_and_South_America
"310",Nicaragua,Middle_and_South_America
"311",Costa_Rica,Middle_and_South_America
"312",Panama,Middle_and_South_America
"314",Bermuda_(UK),Middle_and_South_America
"315",Bahamas,Middle_and_South_America
"316",Jamaica,Middle_and_South_America
"317",Turks_and_Caicos_Islands_(UK),Middle_and_South_America
"319",Barbados,Middle_and_South_America
"320",Trinidad_and_Tobago,Middle_and_South_America
"321",Cuba,Middle_and_South_America
"322",Haiti,Middle_and_South_America
"323",Dominican_Republic,Middle_and_South_America
"324",Puerto_Rico_(USA),Middle_and_South_America
"325",US_Virgin_Islands,Middle_and_South_America
"326",Netherlands_Antilles,Middle_and_South_America
"327",French_West_Indies,Middle_and_South_America
"328",Cayman_islands_(UK),Middle_and_South_America
"329",Grenada,Middle_and_South_America
"330",St.Lucia,Middle_and_South_America
"331",Antigua_and_Barbuda,Middle_and_South_America
"332",British_Virgin_Islands,Middle_and_South_America
"333",Dominica,Middle_and_South_America
"334",Monstserrat_(UK),Middle_and_South_America
"335",St.Christopher_and_Nevis,Middle_and_South_America
"336",St.Vincent,Middle_and_South_America
"337",British_Anguilla,Middle_and_South_America
"401",Colombia,Middle_and_South_America
"402",Venezuela,Middle_and_South_America
"403",Guyana,Middle_and_South_America
"404",Suriname,Middle_and_South_America
"405",French_Guiana,Middle_and_South_America
"406",Ecuador,Middle_and_South_America
"407",Peru,Middle_and_South_America
"408",Bolivia,Middle_and_South_America
"409",Chile,Middle_and_South_America
"410",Brazil,Middle_and_South_America
"411",Paraguay,Middle_and_South_America
"412",Uruguay,Middle_and_South_America
"413",Argentina,Middle_and_South_America
"414",Falkland_Islands_and_Dependencies_(UK),Middle_and_South_America
"415",British_Antarctic_Territory,Middle_and_South_America
"501",Morocco,Africa
"502",Ceuta_and_Melilla_(Spain),Africa
"503",Algeria,Africa
"504",Tunisia,Africa
"505",Libya,Africa
"506",Egypt,Africa
"507",Sudan,Africa
"508",West_Sahara,Africa
"509",Mauritania,Africa
"510",Senegal,Africa
"511",Gambia,Africa
"512",Guinea-Bissau,Africa
"513",Guinea,Africa
"514",Sierra_Leone,Africa
"515",Liberia,Africa
"516",Côte_d'Ivoire,Africa
"517",Ghana,Africa
"518",Togo,Africa
"519",Benin,Africa
"520",Mali,Africa
"521",Burkina_Faso,Africa
"522",Cape_Verde,Africa
"523",Canary_Islands_(Spain),Africa
"524",Nigeria,Africa
"525",Niger,Africa
"526",Rwanda,Africa
"527",Cameroon,Africa
"528",Chad,Africa
"529",Central_Africa,Africa
"530",Equatorial_Guinea,Africa
"531",Gabon,Africa
"532",Congo,Africa
"533",Congo,Africa
"534",Burundi,Africa
"535",Angola,Africa
"536",Sao_Tome_and_Principe,Africa
"537",St._Helena_Island_and_Dependencies_(UK),Africa
"538",Ethiopia,Africa
"539",Djibouti,Africa
"540",Somalia,Africa
"541",Kenya,Africa
"542",Uganda,Africa
"543",Tanzania,Africa
"544",Seychelles,Africa
"545",Mozambique,Africa
"546",Madagascar,Africa
"547",Mauritius,Africa
"548",Reunion_(France),Africa
"549",Zimbabwe,Africa
"550",Namibia,Africa
"551",South_Africa,Africa
"552",Lesotho,Africa
"553",Malawi,Africa
"554",Zambia,Africa
"555",Botswana,Africa
"556",Swaziland,Africa
"557",British_indian_Ocean_Territories,Africa
"558",Comoros,Africa
"559",Eritrea,Africa
"560",South_Sudan,Africa
"601",Australia,Oceania
"602",Papua_New_Guinea,Oceania
"605",Other_Australian_Territories,Oceania
"606",New_Zealand,Oceania
"607",Cook,Oceania
"608",Tokelau_Islands_(NZ),Oceania
"609",Niue,Oceania
"610",Samoa,Oceania
"611",Vanuatu,Oceania
"612",Fiji,Oceania
"613",Solomon_Islands,Oceania
"614",Tonga,Oceania
"615",Kiribati,Oceania
"616",Pitcairn_(UK),Oceania
"617",Nauru,Oceania
"618",New_Caledonia_(France),Oceania
"619",French_Polynesia,Oceania
"620",Guam_(USA),Oceania
"621",American_Samoa,Oceania
"622",American_Oceania,Oceania
"624",Tuvalu,Oceania
"625",Marshall,Oceania
"626",Micronesia,Oceania
"627",Northern_Mariana_Islands_(USA),Oceania
"628",Palau,Oceania
"701",For_Order,Special_Area
"702",Unknown,Special_Area
"703",Bonded_Manufacturing_Warehouse,Integrated_Hozei_Ar_Special_Area
